TIME,Value
2018W28,"16,07"
2018W29,"16,702"
2018W30,"18,34"
2018W31,"20,371"
2018W32,"18,478"
2018W33,"16,89"
2018W34,"16,612"
2018W35,16
2018W36,"16,39"
2018W37,"16,292"
2018W38,"16,651"
2018W39,"15,969"
2018W40,"16,622"
2018W41,"16,993"
2018W42,"16,552"
2018W43,"16,608"
2018W44,"16,895"
2018W45,"17,604"
2018W46,"16,842"
2018W47,"17,785"
2018W48,"18,091"
2018W49,"18,342"
2018W50,"17,943"
2018W51,"18,99"
2018W52,"17,954"
2019W01,"18,686"
2019W02,"19,17"
2019W03,"19,163"
2019W04,"19,505"
2019W05,"19,812"
2019W06,"19,981"
2019W07,"20,15"
2019W08,"20,349"
2019W09,"20,79"
2019W10,"20,453"
2019W11,"19,795"
2019W12,"19,016"
2019W13,"18,562"
2019W14,"18,671"
2019W15,"17,852"
2019W16,"18,089"
2019W17,"17,894"
2019W18,"17,09"
2019W19,"17,118"
2019W20,"17,315"
2019W21,"17,08"
2019W22,"16,921"
2019W23,"17,491"
2019W24,"16,484"
2019W25,"16,639"
2019W26,"17,918"
2019W27,"16,552"
2019W28,"16,319"
2019W29,"16,856"
2019W30,"19,63"
2019W31,"17,034"
2019W32,"16,54"
2019W33,"15,934"
2019W34,"16,263"
2019W35,"17,637"
2019W36,"15,988"
2019W37,"16,303"
2019W38,"16,5"
2019W39,"17,402"
2019W40,"16,899"
2019W41,"17,666"
2019W42,"17,713"
2019W43,"17,327"
2019W44,"17,488"
2019W45,"17,859"
2019W46,"18,242"
2019W47,"18,535"
2019W48,"18,581"
2019W49,"19,143"
2019W50,"19,101"
2019W51,"19,062"
2019W52,"18,204"
2020W01,"18,883"
2020W02,"19,408"
2020W03,"18,953"
2020W04,"18,827"
2020W05,"19,774"
2020W06,"19,038"
2020W07,"19,648"
2020W08,"18,953"
2020W09,"19,505"
2020W10,"19,667"
2020W11,"19,849"
2020W12,"19,722"
2020W13,"19,678"
2020W14,"20,662"
2020W15,"20,502"
2020W16,"19,261"
2020W17,"18,557"
2020W18,"17,92"
2020W19,"17,651"
2020W20,"17,001"
2020W21,"17,163"
2020W22,"16,776"
2020W23,"17,262"
2020W24,"16,601"
2020W25,"16,401"
2020W26,"17,293"
2020W27,"16,457"
2020W28,"16,142"
2020W29,"16,537"
2020W30,"16,887"
2020W31,"17,433"
2020W32,"17,47"
2020W33,"19,72"
2020W34,"17,559"
2020W35,"16,656"
2020W36,"16,789"
2020W37,"17,155"
2020W38,"17,555"
2020W39,"17,446"
2020W40,"17,614"
2020W41,"17,501"
2020W42,"17,754"
2020W43,"18,588"
2020W44,"18,584"
2020W45,"19,007"
2020W46,"19,727"
2020W47,"20,182"
2020W48,"21,304"
2020W49,"22,604"
2020W50,"24,003"
2020W51,"24,724"
2020W52,"25,554"
2020W53,"25,497"
2021W01,"24,849"
2021W02,"24,503"
2021W03,"24,077"
2021W04,"22,645"
2021W05,"21,736"
2021W06,"20,932"
2021W07,"20,469"
2021W08,"18,953"
2021W09,"18,44"
2021W10,"18,609"
2021W11,"18,336"
2021W12,"18,395"
2021W13,"18,495"
2021W14,"18,824"
2021W15,"19,062"
2021W16,"19,246"
2021W17,"19,508"
2021W18,"19,308"
2021W19,"18,591"
2021W20,"17,791"
2021W21,"17,162"
2021W22,"18,164"
2021W23,"17,409"
2021W24,"19,047"
2021W25,"17,183"
2021W26,"16,987"
2021W27,"16,954"
2021W28,"17,624"
2021W29,"17,577"
2021W30,"17,205"
2021W31,"16,993"
2021W32,"17,531"
2021W33,"17,446"
2021W34,"17,161"
2021W35,"17,336"
2021W36,"18,826"
2021W37,"18,006"
2021W38,"18,104"
2021W39,"18,082"
2021W40,"18,163"
2021W41,"18,904"
2021W42,"19,744"
2021W43,"20,231"
2021W44,"20,296"
2021W45,"20,974"
2021W46,"22,212"
2021W47,"23,13"
2021W48,"24,039"
2021W49,"23,831"
2021W50,"22,736"
2021W51,"22,282"
2021W52,"21,989"
2021W99,:
2022W01,"20,602"
2022W02,"19,711"
2022W03,"19,631"
2022W04,"19,993"
2022W05,"20,487"
2022W06,"20,265"
2022W07,"20,948"
2022W08,"20,225"
2022W09,"20,518"
2022W10,"20,973"
2022W11,"20,994"
2022W12,"20,65"
2022W13,:
